BuildingType,PrimaryPropertyType,Neighborhood,BuildingAge,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),PercentagePropertyGFABuildings,GFAperBuilding,GFAperFloor,LargestPropertyUseType,LargestPropertyUseTypeGFAPourcentage,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFAPourcentage,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFAPourcentage,ENERGYSTARScore,PercentageSteamUse(kBtu),PercentageElectricity(kBtu),SiteEnergyUseWN(kBtu),SiteEUIWN(kBtu/sf),TotalGHGEmissions,GHGEmissionsIntensity
NonResidential,Hotel,DOWNTOWN,89,1,12,88434,0,88434,100.0,88434.0,7370.0,Hotel,100.0,,,,,60.0,27.0,53.0,7456910.0,84.30000305,249.98,2.83
NonResidential,Hotel,DOWNTOWN,20,1,11,103566,15064,88502,85.0,88502.0,8046.0,Hotel,81.0,Parking,15.0,Restaurant,4.0,61.0,0.0,37.0,8664479.0,97.90000153,295.86,2.86
NonResidential,Hotel,DOWNTOWN,47,1,41,956110,196718,759392,79.0,759392.0,18522.0,Hotel,79.0,,,,,43.0,29.0,67.0,73937112.0,97.69999695,2089.28,2.19
NonResidential,Hotel,DOWNTOWN,90,1,10,61320,0,61320,100.0,61320.0,6132.0,Hotel,100.0,,,,,56.0,32.0,40.0,6946800.5,113.3000031,286.43,4.67
NonResidential,Hotel,DOWNTOWN,36,1,18,175580,62000,113580,65.0,113580.0,6310.0,Hotel,70.0,Parking,39.0,Swimming Pool,0.0,75.0,0.0,37.0,14656503.0,118.6999969,505.01,2.88
Nonresidential COS,Other,DOWNTOWN,17,1,2,97288,37198,60090,62.0,60090.0,30045.0,Police Station,91.0,,,,,,0.0,59.0,12581712.0,141.6000061,301.81,3.1
NonResidential,Hotel,DOWNTOWN,90,1,11,83008,0,83008,100.0,83008.0,7546.0,Hotel,98.0,,,,,27.0,0.0,46.0,6062767.5,74.5,176.14,2.12
NonResidential,Other,DOWNTOWN,90,1,8,102761,0,102761,100.0,102761.0,12845.0,Other - Entertainment/Public Assembly,100.0,,,,,,32.0,51.0,7067881.5,68.80000305,221.51,2.16
NonResidential,Hotel,DOWNTOWN,112,1,15,163984,0,163984,100.0,163984.0,10932.0,Hotel,100.0,,,,,43.0,0.0,51.0,14194054.0,86.59999847,392.16,2.39
NonResidential,Hotel,DOWNTOWN,47,1,11,153163,19279,133884,87.0,133884.0,12171.0,Hotel,87.0,,,,,30.0,31.0,37.0,16646930.0,124.3000031,691.26,4.51
NonResidential,Hotel,DOWNTOWN,18,1,25,333176,61161,272015,82.0,272015.0,10881.0,Hotel,101.0,,,,,36.0,22.0,67.0,27070114.0,80.40000153,740.97,2.22
NonResidential,Hotel,DOWNTOWN,88,1,9,65009,0,65009,100.0,65009.0,7223.0,Hotel,100.0,,,,,48.0,26.0,21.0,6358719.5,97.80000305,328.23,5.05
NonResidential,Hotel,DOWNTOWN,36,1,33,315952,57600,258352,82.0,258352.0,7829.0,Hotel,94.0,Parking,18.0,,,58.0,19.0,62.0,22524948.0,76.19999695,648.62,2.05
NonResidential,Hotel,DOWNTOWN,94,1,11,92190,25200,66990,73.0,66990.0,6090.0,Hotel,73.0,Parking,27.0,,,35.0,44.0,34.0,11179203.0,165.8999939,511.39,5.55
Nonresidential COS,Other,DOWNTOWN,12,1,11,412000,57000,355000,86.0,355000.0,32273.0,Library,89.0,Parking,12.0,Data Center,0.0,,4.0,95.0,18706912.0,51.09999847,181.38,0.44
NonResidential,Other,DOWNTOWN,86,1,6,103911,0,103911,100.0,103911.0,17318.0,Fitness Center/Health Club/Gym,87.0,Office,38.0,Swimming Pool,0.0,,45.0,44.0,10192124.0,78.40000153,433.86,4.18
NonResidential,Hotel,DOWNTOWN,33,1,28,416281,85000,331281,80.0,331281.0,11831.0,Hotel,84.0,Parking,20.0,,,31.0,0.0,62.0,34351920.0,98.59999847,802.89,1.93
